        30	experimenter_hand	        to	         7	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        16	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        17	experimenter_hand	        to	        10	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        19	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        25	experimenter_hand	        to	         1	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
         6	experimenter_hand	        to	        28	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        13	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        18	experimenter_hand	        to	        20	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         5	experimenter_hand	        to	        26	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         3	experimenter_hand	        to	        17	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
         3	experimenter_hand	        to	        31	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        15	experimenter_hand	        to	        12	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        15	experimenter_hand	        to	        12	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        23	experimenter_hand	        to	        22	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        12	experimenter_hand	        to	        29	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         8	experimenter_hand	        to	        16	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        23	experimenter_hand	        to	        29	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        23	experimenter_hand	        to	        12	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
         7	experimenter_hand	        to	        30	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         6	experimenter_hand	        to	        28	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        30	experimenter_hand	        to	        21	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        15	experimenter_hand	        to	         1	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        13	experimenter_hand	        to	         5	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        28	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        13	experimenter_hand	        to	        32	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        25	experimenter_hand	        to	        21	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        11	experimenter_hand	        to	        20	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        14	experimenter_hand	        to	        16	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        22	experimenter_hand	        to	        23	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        18	experimenter_hand	        to	        26	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        32	experimenter_hand	        to	        15	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        21	experimenter_hand	        to	        15	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        18	experimenter_hand	        to	         3	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        31	experimenter_hand	        to	        28	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        11	experimenter_hand	        to	        21	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        30	experimenter_hand	        to	        10	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        26	experimenter_hand	        to	         9	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        17	experimenter_hand	        to	        30	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        30	experimenter_hand	        to	        16	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        22	experimenter_hand	        to	        26	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        15	experimenter_hand	        to	        20	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        30	experimenter_hand	        to	         6	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         6	experimenter_hand	        to	         7	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        16	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        24	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        16	experimenter_hand	        to	         1	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        32	experimenter_hand	        to	        10	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         2	experimenter_hand	        to	        31	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        12	experimenter_hand	        to	        17	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        28	experimenter_hand	        to	        24	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        28	experimenter_hand	        to	        26	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        23	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        25	experimenter_hand	        to	        30	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         7	experimenter_hand	        to	         5	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        20	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         1	experimenter_hand	        to	        17	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        15	experimenter_hand	        to	         5	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        10	experimenter_hand	        to	         7	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        11	experimenter_hand	        to	        10	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        18	experimenter_hand	        to	        22	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        18	experimenter_hand	        to	        32	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        30	experimenter_hand	        to	        28	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        20	experimenter_hand	        to	        32	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
         1	experimenter_hand	        to	        16	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         3	experimenter_hand	        to	        15	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        22	experimenter_hand	        to	         8	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        27	experimenter_hand	        to	        28	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         8	experimenter_hand	        to	        27	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        11	experimenter_hand	        to	        28	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
